analysis_id,analysis_role,outcome,timepoint,modality,comparator,k,N,tau2_method,inference_method,effect_measure,estimate,ci_low,ci_high,p_value,I2,tau2,pi_low,pi_high,rob_status,grade_status,verification_status
AN-01-TEAS,PRIMARY,Cumulative Postoperative Opioid Consumption,0–24 h,TEAS,Sham,8,625,REML,Hartung-Knapp,Mean Difference (mg IV MME),-2.405,-5.765,0.955,0.1344,98.96,5.3495,-9.047,4.237,Audited (Result-Specific),"Low Certainty (Downgraded -2: Inconsistency, Imprecision)",VERIFIED (StataNow 19.5 SE)
AN-01-EA,PRIMARY,Cumulative Postoperative Opioid Consumption,0–24 h,EA,Sham / Control,3,320,REML,Hartung-Knapp,Mean Difference (mg IV MME),-10.395,-36.388,15.599,0.2275,79.51,85.4814,,,Audited (Result-Specific),"Very Low Certainty (Downgraded -3: Inconsistency, Very Serious Imprecision)",VERIFIED (StataNow 19.5 SE)
AN-01-COMB,SUPPORTING COMBINED SYNTHESIS,Cumulative Postoperative Opioid Consumption,0–24 h,Combined (TEAS + EA),Sham / Control,11,945,REML,Hartung-Knapp,Mean Difference (mg IV MME),-5.035,-9.777,-0.293,0.0395,99.73,30.0069,-18.329,8.259,Audited (Result-Specific),"Low Certainty (Downgraded -2: Inconsistency, Indirectness/Imprecision)",VERIFIED (StataNow 19.5 SE)
AN-01-DL-WALD,ESTIMATOR SENSITIVITY,Cumulative Postoperative Opioid Consumption,0–24 h,Combined (TEAS + EA),Sham / Control,11,945,DerSimonian-Laird,Wald,Mean Difference (mg IV MME),-2.027,-3.069,-0.985,0.0001,94.93,1.5085,,,Audited (Sensitivity),N/A (Sensitivity Model),VERIFIED (StataNow 19.5 SE)
AN-01-DL-KH,ESTIMATOR SENSITIVITY,Cumulative Postoperative Opioid Consumption,0–24 h,Combined (TEAS + EA),Sham / Control,11,945,DerSimonian-Laird,Hartung-Knapp,Mean Difference (mg IV MME),-2.027,-4.311,0.257,0.0762,94.93,1.5085,,,Audited (Sensitivity),N/A (Sensitivity Model),VERIFIED (StataNow 19.5 SE)
AN-01-DIRECT,SENSITIVITY,Cumulative Postoperative Opioid Consumption,0–24 h,Combined (TEAS + EA),Sham / Control,6,479,REML,Hartung-Knapp,Mean Difference (mg IV MME),-5.203,-11.961,1.554,0.1037,99.78,38.6432,-24.81,14.4,Audited (Sensitivity),N/A (Sensitivity Model),VERIFIED (StataNow 19.5 SE)
AN-01-ROB-EXCL,SENSITIVITY,Cumulative Postoperative Opioid Consumption,0–24 h,Combined (TEAS + EA),Sham / Control,10,850,REML,Hartung-Knapp,Mean Difference (mg IV MME),-5.395,-10.453,-0.337,0.0398,99.75,33.1517,-19.78,8.99,Audited (Sensitivity),N/A (Sensitivity Model),VERIFIED (StataNow 19.5 SE)
AN-02-TEAS,KEY SECONDARY,Cumulative Postoperative Opioid Consumption,0–48 h,TEAS,Sham,3,2077,REML,Hartung-Knapp,Mean Difference (mg IV MME),-2.163,-3.264,-1.061,0.0137,0.0,0.0,,,Pending Final Result-Specific Integration,Moderate Certainty (Downgraded -1: Imprecision [Few Studies]),VERIFIED (StataNow 19.5 SE)
AN-02-EA,KEY SECONDARY,Cumulative Postoperative Opioid Consumption,0–48 h,EA,Sham / Control,2,108,REML,Hartung-Knapp,Mean Difference (mg IV MME),-6.239,-15.371,2.893,0.073,0.0,0.0,,,Pending Final Result-Specific Integration,"Very Low Certainty (Downgraded -3: Risk of Bias, Very Serious Imprecision)",VERIFIED (StataNow 19.5 SE)
AN-02-COMB,SUPPORTING COMBINED SYNTHESIS,Cumulative Postoperative Opioid Consumption,0–48 h,Combined (TEAS + EA),Sham / Control,5,2183,REML,Hartung-Knapp,Mean Difference (mg IV MME),-2.373,-4.086,-0.66,0.0184,39.79,0.529,-5.408,0.662,Pending Final Result-Specific Integration,Moderate Certainty (Downgraded -1: Indirectness/Inconsistency),VERIFIED (StataNow 19.5 SE)
AN-03-COMB,EXPLORATORY,Cumulative Postoperative Opioid Consumption,0–72 h,Combined (TEAS + EA),Sham / Control,4,324,REML,Hartung-Knapp,Mean Difference (mg IV MME),-8.764,-19.049,1.52,0.0768,97.43,49.3752,-37.89,20.36,Pending Final Result-Specific Integration,"Low Certainty (Downgraded -2: Inconsistency, Imprecision)",VERIFIED (StataNow 19.5 SE)
AN-04,SECONDARY,Incidence of Requiring Rescue Analgesia,0–24 h to 0–48 h,Combined (TEAS + EA),Sham,9,880,REML,Hartung-Knapp,Risk Ratio (RR),0.546,0.388,0.768,0.0035,18.34,0.0384,0.32,0.93,Pending Final Result-Specific Integration,Moderate Certainty (Downgraded -1: Potential Risk of Bias),VERIFIED (StataNow 19.5 SE)
