lock_id,target,endpoint_stratum,study,comparison_id,intervention,comparator,outcome,time_window,data_type,n_i,n_c,mean_i,sd_i,median_i,q1_i,q3_i,events_i,mean_c,sd_c,median_c,q1_c,q3_c,events_c,unit,reported_p,derived_effect_measure,derived_effect,rob_overall,include_strict,include_sensitivity,narrative_only,author_priority,p1_disposition,analysis_action,overlap_family,hold_reason,shared_control_issue,source_qc,record_status,source_url,Sourceverifiedresult,rob_d1,rob_d2,rob_d3,rob_d4,rob_d5,result_rob,KeyQCnote
A-001,A,A_0-48h_cumulative_opioid,Chen 2020,CHEN20_TEAS_vs_SHAM_SUF48,Perioperative TEAS,Sham low/zero-current protocol,Cumulative postoperative PCIA sufentanil consumption,0-48 h,Mean/SD,40,40,118.52,9.77,,,,,140.15,7.87,,,,,µg sufentanil,<0.001,MD,-21.63,Some concerns,1,0,0,,,STRICT_MODEL,,,No,48-h cumulative pump result; preserve native µg. Registration retrospective.,SOURCE-VERIFIED / AF-NORMALIZED,https://drive.google.com/file/d/1y0_cC1NCl5g2vYxDMOtYmxVA_YEE-rsR/view?usp=drivesdk,118.52±9.77 vs 140.15±7.87 μg,Low,Low,Low,Low,Some concerns,Some concerns,Clean 48-h cumulative result; preserve μg; registration retrospective.
A-002,A,A_0-48h_cumulative_opioid,Zhang 2023,ZHANG23_TEAS_vs_SHAM_MME48,TEAS,Sham/no current,Postoperative IV morphine-equivalent consumption,Within 48 h,Median/IQR,922,916,,,110,80,110,,,,110,90,110,,mg IV morphine-equivalent,NR,,,Some concerns,1,0,0,P2,,STRICT_MODEL,,,No,Authors converted opioids using ClinCalc; exact 24-h postoperative dose is not reported,SOURCE-VERIFIED / 48H ONLY,https://drive.google.com/file/d/1LXNXNhVJaOcYXBODulFUuMD4FQXC5dph/view?usp=drivesdk,110 (80–110) vs 110 (90–110) mg IV MME,Low,Some concerns,Some concerns,Low,Some concerns,Some concerns,Exact data capture source not reported; substantial post-randomization exclusions.
A-003,A,A_0-48h_cumulative_opioid,An 2014,AN14_EA_vs_CTRL_FENT48,Intraoperative electroacupuncture,No acupuncture control,Total postoperative fentanyl PCIA dose,Through reported 48-h PCIA period,Mean/SD,41,40,.67,.09,,,,,.73,.12,,,,,mg fentanyl,NS,MD,-.0599999999999999,Some concerns,1,0,0,P1,RESOLVED_BY_MANDATORY_SENSITIVITY,STRICT_MODEL,,,No,Seven of 88 randomized patients were excluded from analysis; total fentanyl is not isolated to 0-24 h.,SOURCE-VERIFIED / ATTRITION + 48H WINDOW,https://drive.google.com/file/d/1Ygu3g28udKuPe0OS95oge2ryIGNeJ0te/view?usp=drivesdk,0.67±0.09 vs 0.73±0.12 mg,Some concerns,Some concerns,Some concerns,Low,Some concerns,Some concerns,Author clarification needed for reservoir/plausibility issue.
A-004,A,A_0-48h_cumulative_opioid,Xie 2014,XIE14_EAS_vs_SHAM_TOTALSUF,Active EAS PC4/PC6,Sham needling PC4/PC6,Total postoperative/perioperative sufentanil,Through postoperative 48 h; published total may include 30-min pre-end-of-surgery sufentanil exposure,Mean/SD,20,20,115,6,,,,,133.5,7,,,,,µg sufentanil,<0.05,MD,-18.5,Some concerns,0,1,0,P1,RESOLVED_BY_SENSITIVITY,SENSITIVITY_MODEL,,,Yes,Sufentanil began 30 min before surgery ended; continuous infusion reported inconsistently as 2.25 vs 2.5 µg/h.,SOURCE-VERIFIED / AF-CORRECTED / WINDOW-QC,https://drive.google.com/file/d/17faY_h0rMJTuhjPOC5PL_S59jYmHDPee/view?usp=drivesdk,115.0±6.0 vs 133.5±7.0 μg (EAS vs sham),Some concerns,Some concerns,Low,Some concerns,Some concerns,Some concerns,Sufentanil began 30 min before surgery ended; infusion rate 2.25 vs 2.5 μg/h conflict.
A-004,A,A_0-48h_cumulative_opioid,Xie 2014,XIE14_EAS_vs_CONTROL_TOTALSUF,Active EAS PC4/PC6,General-anesthesia control,Total postoperative/perioperative sufentanil,Through postoperative 48 h; published total may include 30-min pre-end-of-surgery sufentanil exposure,Mean/SD,20,20,115,6,,,,,134.3,5.9,,,,,µg sufentanil,<0.05,MD,-19.30000000000001,Some concerns,0,1,0,P1,RESOLVED_BY_SENSITIVITY,SENSITIVITY_MODEL,,,Yes,Sufentanil began 30 min before surgery ended; continuous infusion reported inconsistently as 2.25 vs 2.5 µg/h.,SOURCE-VERIFIED / AF-CORRECTED / WINDOW-QC,https://drive.google.com/file/d/17faY_h0rMJTuhjPOC5PL_S59jYmHDPee/view?usp=drivesdk,115.0±6.0 vs 133.5±7.0 μg (EAS vs sham),Some concerns,Some concerns,Low,Some concerns,Some concerns,Some concerns,Sufentanil began 30 min before surgery ended; infusion rate 2.25 vs 2.5 μg/h conflict.
B-001,B,B_0-72h_cumulative_opioid,Yang 2024,YANG24_EA_vs_UC_MORPH72,Perioperative EA + usual care,Usual care,Cumulative morphine use via IV PCA,0-72 h / POD1-3,Mean/SD,90,90,127,12,,,,,127.5,12.5,,,,,mg morphine,0.785,MD,-.5,Some concerns,1,0,0,,,STRICT_MODEL,,,No,Extracted from PCA device records; full ITT.,SOURCE-VERIFIED / AF-NORMALIZED,https://drive.google.com/file/d/160N3psd5tLEphwXHJzUEZ3uJfaIXcs5V/view?usp=drivesdk,127.0±12.0 vs 127.5±12.5 mg,Low,Low,Low,Low,Some concerns,Some concerns,PCA-device records; full ITT.
B-002,B,B_0-72h_cumulative_opioid,Wong 2006,WONG06_EA_vs_SHAM_MORPHTOTAL,Postoperative electroacupuncture,Nonpenetrating sham acupuncture,IV PCA morphine consumption,First 3 postoperative days total,Mean/SD,13,12,33.9,12.8,,,,,42.3,21.3,,,,,mg IV morphine,0.25,MD,-8.399999999999999,Some concerns,0,1,0,,,SENSITIVITY_MODEL,,,No,Both groups also received scheduled oral dextropropoxyphene. Two randomized sham patients were excluded after serious postoperative complications.,SOURCE-VERIFIED / DAY-LABEL WINDOW QC,https://drive.google.com/file/d/1-XmRdgXyZmOmKIDRhL80sxha5M2P00jd/view?usp=drivesdk,33.9±12.8 vs 42.3±21.3 mg,Low,Some concerns,Some concerns,Low,Some concerns,Some concerns,Exact surgery-to-72.0-h clock cutoff not reported.
C-001,C,C_rest_pain_~24h,Xing 2022,XING22_NTG_vs_NG_RESTVAS24,TEAS + active TAPB,Sham TEAS + active TAPB,Rest pain VAS,24 h,Mean/SD,29,29,1.18,.42,,,,,1.4,.52,,,,,VAS 0-10,NS for NTG vs NG at 24 h,MD,-.22,High,1,0,0,,,STRICT_MODEL,,,Yes,"At 24 h both TAPB groups improved versus G, but incremental NTG-vs-NG difference was not reported significant",SOURCE-VERIFIED,https://drive.google.com/file/d/1h3IGpQ56nSh7H16xBEVyTzCBkWOXRSxK/view?usp=drivesdk,1.18±0.42 vs 1.40±0.52,Low,Some concerns,Low,High,Low,High,Subjective resting pain; sensory masking concern drives High RoB.
C-002,C,C_rest_pain_~24h,Liu 2021,LIU21_TEAS_vs_CTRL_VASREST24,Perioperative TEAS,Electrodes/no current,VAS at rest,24 h,Mean/SD,50,50,2.52,.505,,,,,2.66,.626,,,,,VAS,0.221,MD,-.1400000000000001,High,1,0,0,,,STRICT_MODEL,,,No,Participant blinding is unclear because active stimulation was maximum tolerated and control received no current,SOURCE-VERIFIED,https://drive.google.com/file/d/1TA4BstaUWY3EdQbDNEvvGxF35ekGanrm/view?usp=drivesdk,2.52±0.505 vs 2.66±0.626; P=0.221,Some concerns,Low,Low,High,Some concerns,High,Subjective resting pain; participant masking concern drives High RoB.
D-001,D,D_PONV_0-24h,Zheng 2025,ZHENG25_TEAS_vs_SHAM_PONV,Perioperative TEAS,Sham/no current,Any PONV,Within 24 h postoperatively,Events/total,42,43,,,,,,18,,,,,,29,participants,0.023,RR,.6354679802955665,Some concerns,1,0,0,,,STRICT_MODEL,,,No,Counts 18/42 and 29/43 are reconstructed from reported 42.9% and 67.4%; use percentages as source truth,SOURCE-VERIFIED / COUNTS DERIVED,https://drive.google.com/file/d/1-JWKZgQXaQQQBZgMSDqyIP-vG9aAxBqb/view?usp=drivesdk,18/42 vs 29/43,Low,Some concerns,Low,Some concerns,Some concerns,Some concerns,
D-002,D,D_PONV_0-24h,Lu 2021,LU21_COMB_vs_SHAM_PONV24,Combined PC6+CV17 TEAS,Sham/no current,Any PONV,24 h,Events/total,190,188,,,,,,35,,,,,,68,participants,Overall P=0.0001,RR,.5092879256965943,High,1,0,0,,,STRICT_MODEL,,,Yes,Use raw event counts; three-arm shared sham comparator,SOURCE-VERIFIED,https://drive.google.com/file/d/1MgD_OucfiyNEDdDe3osh8W01U1yYZs08/view?usp=drivesdk,35/190 vs 68/188,Low,Low,Low,High,Some concerns,High,
D-003,D,D_PONV_0-48h,Xiong 2021,XIONG21_TEAS_vs_CTRL_PONV48,TEAS + dexamethasone + tropisetron,Dexamethasone + tropisetron,Any PONV,Within 48 h,Events/total,31,31,,,,,,13,,,,,,24,participants,0.004,RR,.5416666666666667,High,1,0,0,,,STRICT_MODEL,,,No,Participant blinding intended but active postoperative tingling may have revealed allocation,SOURCE-VERIFIED,https://drive.google.com/file/d/1sNaquYeWpsts7_e3XYP9c0CwM-tbQS6T/view?usp=drivesdk,13/31 vs 24/31,Some concerns,Low,Low,High,Some concerns,High,
D-004,D,D_PONV_0-48h,Xing 2022,XING22_NTG_vs_NG_PONV,TEAS + active TAPB,Sham TEAS + active TAPB,PONV incidence,Postoperative,Events/total,29,29,,,,,,5,,,,,,11,participants,<0.05 pairwise,RR,.4545454545454546,High,1,0,0,,,STRICT_MODEL,,,Yes,Counts reconstructed from n=29 analyzed per arm,SOURCE-VERIFIED / COUNTS DERIVED,https://drive.google.com/file/d/1h3IGpQ56nSh7H16xBEVyTzCBkWOXRSxK/view?usp=drivesdk,5/29 vs 11/29,Some concerns,Some concerns,Low,High,Some concerns,High,
D-005,D,D_PONV_other,Zhou 2025,ZHOU25_TEAS_vs_SHAM_PONV,PACU TEAS,Sham/no current,PONV incidence,POD1,Events/total,48,49,,,,,,10,,,,,,19,participants,0.047,RR,.537280701754386,Some concerns,0,1,0,P2,,SENSITIVITY_MODEL,,,No,Participant sensory blinding uncertain,SOURCE-VERIFIED,https://drive.google.com/file/d/1gpNBuoukUttXKWiAAeZSqdIaaHSMOwDU/view?usp=drivesdk,10/48 vs 19/49,Low,Low,Low,Some concerns,Some concerns,Some concerns,POD1 not explicitly 0–24 h.
