Canonicalstudy,ComparisonID,Interventionarm,Comparatorarm,Outcomefamily,Outcomeresult,Timepointwindow,Datatype,Randomizednintervention,Randomizedncomparator,Analyzednintervention,Analyzedncomparator,Meanintervention,SDintervention,Medianintervention,Q1intervention,Q3intervention,Eventsintervention,Meancomparator,SDcomparator,Mediancomparator,Q1comparator,Q3comparator,Eventscomparator,Unitscale,ReportedP,Directlyreported,Derivedconverted,Derivedeffectmeasure,Derivedeffect,Exact024hpostoperativeopioi,Primaryopioidmetaanalysiseli,Otheranalysiseligibility,Sharedcontrolmultiarmissue,SourceQCissue,Sourcelocation,SourcePDFURL,Recordstatus,AFlockIDs,AFtargets,AFendpointstratums,AFreconciliationactions,AFincludestrict,AFincludesensitivity,AFoverallRoB,AFunresolvedpriority,AFholdexcludenote,AFsourcetruthresults
Yang 2020,YANG20_EA_vs_UC,EA + usual care,Usual care,GI recovery,Time to first postoperative flatus,From surgery to first flatus,Mean/SD,30,29,29,28,20.8,4.6,,,,,24.1,6.2,,,,,hours,0.026,Yes,No,MD,-3.300000000000001,No,No,Eligible for GI-recovery meta-analysis,No,Open-label; 2/59 excluded after randomization; participant-report contribution unclear,GI recovery results/table,https://drive.google.com/file/d/1hsQR_K6W-5QNP4rqkVxHQaopRp4f1XF0/view?usp=drivesdk,SOURCE-VERIFIED,E-002,E,E_time_to_first_flatus,MATCHED,1,0,Some concerns,P2,,20.8±4.6 vs 24.1±6.2 h
Seevaunnamtum 2016,SEEVA16_EA_vs_UC,Intraoperative EA,Standard care,Opioid consumption,Cumulative IV PCA morphine requirement,First 24 h postoperatively,Mean/SD,32,32,32,32,21.38,14.38,,,,,33.94,20.24,,,,,mg morphine,0.006,Yes,No,MD,-12.56,Yes,Yes,Primary continuous 24-h opioid outcome,No,No allocation-concealment method reported,Table 2 / 24-h PCA morphine,https://drive.google.com/file/d/1OhuqhDUCEmOij7fZFhHHCJNwfQ9xpMzd/view?usp=drivesdk,SOURCE-VERIFIED,F-postop-dose-001,F-postop-dose,F_postop_delivered_dose_or_solution,MATCHED,1,0,Some concerns,,,21.38±14.38 vs33.94±20.24 mg; P=0.006
Lin 2002,LIN02_HIGH_vs_CONTROL,100-Hz EA,Untreated control,Opioid consumption,Cumulative IV PCA morphine delivered during postoperative test period,Postoperative hour 1 through next 23 h (published as 24-h test-period value),Mean/SD,25,25,25,25,15,10.7,,,,,38.1,16,,,,,mg morphine,,Yes,No,MD,-23.1,No,No,Usable as published PCA-morphine endpoint; not complete all-opioid 0-24 h exposure,Yes,First postoperative hour could include IM pethidine; group-specific pethidine exposure not reported,Table 2,https://drive.google.com/file/d/1Q5dNOPkf4PB_ctbHu1_3v3UIMIJzKRw9/view?usp=drivesdk,SOURCE-VERIFIED,,,,,0,0,,,,
Lin 2002,LIN02_LOW_vs_CONTROL,2-Hz EA,Untreated control,Opioid consumption,Cumulative IV PCA morphine delivered during postoperative test period,Postoperative hour 1 through next 23 h (published as 24-h test-period value),Mean/SD,25,25,25,25,21.8,14.7,,,,,38.1,16,,,,,mg morphine,,Yes,No,MD,-16.3,No,No,Usable as published PCA-morphine endpoint; not complete all-opioid 0-24 h exposure,Yes,First postoperative hour could include IM pethidine; group-specific pethidine exposure not reported,Table 2,https://drive.google.com/file/d/1Q5dNOPkf4PB_ctbHu1_3v3UIMIJzKRw9/view?usp=drivesdk,SOURCE-VERIFIED,,,,,0,0,,,,
Lin 2002,LIN02_HIGH_vs_SHAM,100-Hz EA,Sham EA,Opioid consumption,Cumulative IV PCA morphine delivered during postoperative test period,Postoperative hour 1 through next 23 h (published as 24-h test-period value),Mean/SD,25,25,25,25,15,10.7,,,,,30.2,14.4,,,,,mg morphine,,Yes,No,MD,-15.2,No,No,Usable as published PCA-morphine endpoint; not complete all-opioid 0-24 h exposure,Yes,First postoperative hour could include IM pethidine; group-specific pethidine exposure not reported,Table 2,https://drive.google.com/file/d/1Q5dNOPkf4PB_ctbHu1_3v3UIMIJzKRw9/view?usp=drivesdk,SOURCE-VERIFIED,F-postop-dose-005,F-postop-dose,F_postop_delivered_dose_or_solution,MATCHED,0,1,High,,,Sham30.2±14.4; low21.8±14.7; high15.0±10.7 mg
Lin 2002,LIN02_LOW_vs_SHAM,2-Hz EA,Sham EA,Opioid consumption,Cumulative IV PCA morphine delivered during postoperative test period,Postoperative hour 1 through next 23 h (published as 24-h test-period value),Mean/SD,25,25,25,25,21.8,14.7,,,,,30.2,14.4,,,,,mg morphine,,Yes,No,MD,-8.399999999999999,No,No,Usable as published PCA-morphine endpoint; not complete all-opioid 0-24 h exposure,Yes,First postoperative hour could include IM pethidine; group-specific pethidine exposure not reported,Table 2,https://drive.google.com/file/d/1Q5dNOPkf4PB_ctbHu1_3v3UIMIJzKRw9/view?usp=drivesdk,SOURCE-VERIFIED,F-postop-dose-005,F-postop-dose,F_postop_delivered_dose_or_solution,MATCHED,0,1,High,,,Sham30.2±14.4; low21.8±14.7; high15.0±10.7 mg
Yao 2015,YAO15_TEAS_vs_CONTROL,Preoperative TEAS,Control/no current,Quality of recovery,Global QoR-40,24 h postoperatively,Mean/SD,37,37,35,36,176.5,10.2,,,,,164.8,14.7,,,,,QoR-40 points,<0.001,Yes,No,MD,11.69999999999999,No,No,Eligible for QoR meta-analysis,No,3 post-randomization exclusions; active sensory stimulation vs zero-current control,24-h QoR-40 result,https://drive.google.com/file/d/1OhcqPgP7chnaiBaZBPBAy4PQlSFMelfh/view?usp=drivesdk,SOURCE-VERIFIED,,,,,0,0,,,,
Yu 2020,YU20_TEAS_vs_CONTROL,Preoperative TEAS,Control/no current,Quality of recovery,Global QoR-40,Postoperative day 1 (~24 h),Mean/SD,30,30,30,30,175.33,9.66,,,,,166.07,8.44,,,,,QoR-40 points,0.040,Yes,No,MD,9.260000000000019,No,No,Eligible for QoR meta-analysis,No,Retrospective registration; article has internal intervention-parameter discrepancy,POD1 QoR-40 result,https://drive.google.com/file/d/1fXpHc9FzhpPCkXto8c5lfcLoA3ROdOEz/view?usp=drivesdk,SOURCE-VERIFIED,,,,,0,0,,,,
Pan 2023,PAN23_TEAS_vs_CONTROL,TEAS,Control/usual care,GI recovery,Time to first postoperative flatus,Postoperative recovery endpoint,Median/IQR,60,60,52,53,,,1020,675.8,1278,,,,1210,896.5,1427,,minutes,0.01,Yes,No,,,No,No,Eligible for GI analysis using nonparametric/prespecified conversion method only,No,15/120 excluded after randomization; do not relabel median/IQR as mean/SD,Postoperative recovery table,https://drive.google.com/file/d/19IZpaoI-iTQOr_XOTw-a17WTw_haz8q6/view?usp=drivesdk,SOURCE-VERIFIED,,,,,0,0,,,,
Chen 1998,CHEN98_NONACU_vs_SHAM,Active nonacupoint shoulder TENS,Sham ST36 TENS (0 mA),Opioid consumption,Cumulative IV PCA hydromorphone,First 24 h postoperatively,Mean/SD,25,25,25,25,10.5,6.2,,,,,10.7,5,,,,,mg hydromorphone,,Yes,No,MD,-.1999999999999993,Yes,Yes,Eligible for 24-h opioid analysis after prespecified opioid/MME conversion,Yes,Four-arm RCT; shared sham control must be handled correctly,Table 2 / first-24-h hydromorphone,https://drive.google.com/file/d/1lUyYj9aN1CL9RpY86ZY0970To83Kb17s/view?usp=drivesdk,SOURCE-VERIFIED,,,,,0,0,,,,
Chen 1998,CHEN98_DERM_vs_SHAM,Active dermatomal/peri-incisional TENS,Sham ST36 TENS (0 mA),Opioid consumption,Cumulative IV PCA hydromorphone,First 24 h postoperatively,Mean/SD,25,25,25,25,6.8,4.2,,,,,10.7,5,,,,,mg hydromorphone,,Yes,No,MD,-3.899999999999999,Yes,Yes,Eligible for 24-h opioid analysis after prespecified opioid/MME conversion,Yes,Four-arm RCT; shared sham control must be handled correctly,Table 2 / first-24-h hydromorphone,https://drive.google.com/file/d/1lUyYj9aN1CL9RpY86ZY0970To83Kb17s/view?usp=drivesdk,SOURCE-VERIFIED,,,,,0,0,,,,
Chen 1998,CHEN98_ACU_vs_SHAM,Active ST36 acupoint TENS,Sham ST36 TENS (0 mA),Opioid consumption,Cumulative IV PCA hydromorphone,First 24 h postoperatively,Mean/SD,25,25,25,25,6.5,3.5,,,,,10.7,5,,,,,mg hydromorphone,,Yes,No,MD,-4.199999999999999,Yes,Yes,Eligible for 24-h opioid analysis after prespecified opioid/MME conversion,Yes,Four-arm RCT; shared sham control must be handled correctly,Table 2 / first-24-h hydromorphone,https://drive.google.com/file/d/1lUyYj9aN1CL9RpY86ZY0970To83Kb17s/view?usp=drivesdk,SOURCE-VERIFIED,F-postop-dose-004,F-postop-dose,F_postop_delivered_dose_or_solution,MATCHED,0,1,High,,,Acupoint6.5±3.5 vs sham10.7±5.0 mg
