lock_id,target,endpoint_stratum,study,comparison_id,intervention,comparator,outcome,time_window,data_type,n_i,n_c,mean_i,sd_i,median_i,q1_i,q3_i,events_i,mean_c,sd_c,median_c,q1_c,q3_c,events_c,unit,reported_p,derived_effect_measure,derived_effect,rob_overall,include_strict,include_sensitivity,narrative_only,author_priority,p1_disposition,analysis_action,overlap_family,hold_reason,shared_control_issue,source_qc,record_status,source_url,Sourceverifiedresult,rob_d1,rob_d2,rob_d3,rob_d4,rob_d5,result_rob,KeyQCnote
D-001,D,D_PONV_0-24h,Zheng 2025,ZHENG25_TEAS_vs_SHAM_PONV,Perioperative TEAS,Sham/no current,Any PONV,Within 24 h postoperatively,Events/total,42,43,,,,,,18,,,,,,29,participants,0.023,RR,.6354679802955665,Some concerns,1,0,0,,,STRICT_MODEL,,,No,Counts 18/42 and 29/43 are reconstructed from reported 42.9% and 67.4%; use percentages as source truth,SOURCE-VERIFIED / COUNTS DERIVED,https://drive.google.com/file/d/1-JWKZgQXaQQQBZgMSDqyIP-vG9aAxBqb/view?usp=drivesdk,18/42 vs 29/43,Low,Some concerns,Low,Some concerns,Some concerns,Some concerns,
D-002,D,D_PONV_0-24h,Lu 2021,LU21_COMB_vs_SHAM_PONV24,Combined PC6+CV17 TEAS,Sham/no current,Any PONV,24 h,Events/total,190,188,,,,,,35,,,,,,68,participants,Overall P=0.0001,RR,.5092879256965943,High,1,0,0,,,STRICT_MODEL,,,Yes,Use raw event counts; three-arm shared sham comparator,SOURCE-VERIFIED,https://drive.google.com/file/d/1MgD_OucfiyNEDdDe3osh8W01U1yYZs08/view?usp=drivesdk,35/190 vs 68/188,Low,Low,Low,High,Some concerns,High,
D-003,D,D_PONV_0-48h,Xiong 2021,XIONG21_TEAS_vs_CTRL_PONV48,TEAS + dexamethasone + tropisetron,Dexamethasone + tropisetron,Any PONV,Within 48 h,Events/total,31,31,,,,,,13,,,,,,24,participants,0.004,RR,.5416666666666667,High,1,0,0,,,STRICT_MODEL,,,No,Participant blinding intended but active postoperative tingling may have revealed allocation,SOURCE-VERIFIED,https://drive.google.com/file/d/1sNaquYeWpsts7_e3XYP9c0CwM-tbQS6T/view?usp=drivesdk,13/31 vs 24/31,Some concerns,Low,Low,High,Some concerns,High,
D-004,D,D_PONV_0-48h,Xing 2022,XING22_NTG_vs_NG_PONV,TEAS + active TAPB,Sham TEAS + active TAPB,PONV incidence,Postoperative,Events/total,29,29,,,,,,5,,,,,,11,participants,<0.05 pairwise,RR,.4545454545454546,High,1,0,0,,,STRICT_MODEL,,,Yes,Counts reconstructed from n=29 analyzed per arm,SOURCE-VERIFIED / COUNTS DERIVED,https://drive.google.com/file/d/1h3IGpQ56nSh7H16xBEVyTzCBkWOXRSxK/view?usp=drivesdk,5/29 vs 11/29,Some concerns,Some concerns,Low,High,Some concerns,High,
D-005,D,D_PONV_other,Zhou 2025,ZHOU25_TEAS_vs_SHAM_PONV,PACU TEAS,Sham/no current,PONV incidence,POD1,Events/total,48,49,,,,,,10,,,,,,19,participants,0.047,RR,.537280701754386,Some concerns,0,1,0,P2,,SENSITIVITY_MODEL,,,No,Participant sensory blinding uncertain,SOURCE-VERIFIED,https://drive.google.com/file/d/1gpNBuoukUttXKWiAAeZSqdIaaHSMOwDU/view?usp=drivesdk,10/48 vs 19/49,Low,Low,Low,Some concerns,Some concerns,Some concerns,POD1 not explicitly 0–24 h.
D-006,D,D_nausea_0-24h,Yang 2024,YANG24_EA_vs_UC_NAUSEA24,Perioperative EA + usual care,Usual care,Postoperative nausea incidence,0-24 h,Events/total,90,90,,,,,,24,,,,,,40,participants,0.013,RR,.6,High,1,0,0,,,STRICT_MODEL,,,No,Nausea is subjective in an open-label EA-vs-usual-care comparison; result-specific High RoB.,SOURCE-VERIFIED / AF-NORMALIZED,https://drive.google.com/file/d/160N3psd5tLEphwXHJzUEZ3uJfaIXcs5V/view?usp=drivesdk,24/90 vs 40/90,Low,Low,Low,High,Some concerns,High,
D-007,D,D_nausea_0-24h,Ma 2026,MA26_T_vs_S_NAUSEA24,Group T: sleep disturbance + preop TEAS,"Group S: sleep disturbance, no TEAS",Nausea,24 h,Events/total,17,16,,,,,,6,,,,,,8,participants,Overall 3-group P=0.590; randomized T-vs-S pairwise NR,RR,.7058823529411765,High,1,0,0,,,STRICT_MODEL,,,No,Overall P-value includes non-randomized Group C; do not treat it as the randomized pairwise P-value,SOURCE-VERIFIED,https://drive.google.com/file/d/1tMEOwvRWIMeEmBmKfeHEt7YF10yxslUe/view?usp=drivesdk,6/17 vs 8/16,Some concerns,Some concerns,Low,High,Some concerns,High,
D-008,D,D_nausea_0-48h,Luo 2026,LUO26_TEAS_vs_SHAM_NAUSEA48,Intraoperative PC6 TEAS + standard antiemetics,Sham/no current + standard antiemetics,Cumulative postoperative nausea,0-48 h,Events/total,138,139,,,,,,24,,,,,,53,participants,<0.01,RR,.4561115668580804,High,1,0,0,,,STRICT_MODEL,,,No,Participant blinding was empirically poor: 77.5% of TEAS and 66.2% of sham participants correctly guessed allocation,SOURCE-VERIFIED,https://drive.google.com/file/d/1xxZle6mPpcnmHLblJbsy1kA4CyQHpvm2/view?usp=drivesdk,24/138 vs 53/139,Low,Low,Low,High,Some concerns,High,
D-009,D,D_vomiting_0-24h,Yang 2024,YANG24_EA_vs_UC_VOMIT,Perioperative EA + usual care,Usual care,Postoperative vomiting,0-24 h,Events/total,90,90,,,,,,12,,,,,,25,participants,0.016,RR,.48,Some concerns,1,0,0,,,STRICT_MODEL,,,No,Vomiting 12/90 vs25/90 is the 0-24 h interval; prior v20 label 'within72 h' corrected in AF lock copy.,SOURCE-VERIFIED / AF-CORRECTED,https://drive.google.com/file/d/160N3psd5tLEphwXHJzUEZ3uJfaIXcs5V/view?usp=drivesdk,12/90 vs 25/90,Low,Low,Low,Some concerns,Some concerns,Some concerns,
D-010,D,D_vomiting_0-24h,Ma 2026,MA26_T_vs_S_VOMIT24,Group T: sleep disturbance + preop TEAS,"Group S: sleep disturbance, no TEAS",Vomiting,24 h,Events/total,17,16,,,,,,6,,,,,,7,participants,Overall 3-group P=0.863; randomized T-vs-S pairwise NR,RR,.8067226890756303,Some concerns,1,0,0,,,STRICT_MODEL,,,No,Overall P-value includes non-randomized Group C,SOURCE-VERIFIED,https://drive.google.com/file/d/1tMEOwvRWIMeEmBmKfeHEt7YF10yxslUe/view?usp=drivesdk,6/17 vs 7/16,Some concerns,Some concerns,Low,Some concerns,Some concerns,Some concerns,
