report,result_id,modality,comparator,reported,window,unit,systemic_capture,decision,models,source_location,rationale,src
Chen 1998,V33-OD-0013,TEAS,Sham,Cumulative IV PCA hydromorphone,First 24 h postoperatively,mg hydromorphone,SYSTEMIC EXPOSURE WITH UNQUANTIFIED RESCUE,SENSITIVITY,opioid24_TEAS_sham_expanded_suf0.25;opioid24_TEAS_sham_expanded_suf0.25_without_Chen2020;opioid24_TEAS_sham_expanded_suf0.5;opioid24_TEAS_sham_expanded_suf0.5_without_Chen2020;opioid24_TEAS_sham_expanded_suf1;opioid24_TEAS_sham_expanded_suf1_without_Chen2020,Table 2 / first-24-h hydromorphone,Expanded device/rescue/unit-uncertain body. Published source values unchanged. Not the registered systemic estimand.,primary_evidence_table
Chen 2020,V33-OD-0014,TEAS,Sham,Cumulative sufentanil,24 h postoperatively,µg sufentanil,UNCLEAR / PCA OR NORMALIZED DOSE ONLY,SENSITIVITY,opioid24_TEAS_sham_expanded_suf0.25;opioid24_TEAS_sham_expanded_suf0.5;opioid24_TEAS_sham_expanded_suf1,Cumulative sufentanil result,Expanded device/rescue/unit-uncertain body. Published source values unchanged. Not the registered systemic estimand.,primary_evidence_table
Coura 2011,V33-OD-0016,EA,Sham,Cumulative fentanyl,First 24 h postoperatively,µg/kg fentanyl,UNCLEAR / PCA OR NORMALIZED DOSE ONLY,SENSITIVITY,opioid24_EA_sham_fentanyl_per_kg,Published cumulative first-24-h fentanyl result,Source construct/window/contrast reviewed; direct data admitted.,primary_evidence_table
El-Rakshy 2009,V33-OD-0252,EA,Usual care,Total IV morphine analgesia,First 24 h,mg IV morphine,ALL SYSTEMIC OPIOID EXPOSURE supported by source,INCLUDE,opioid24_EA_usual;opioid24_EA_usual_expanded,Table 2 / total analgesia in 24 h,Source construct/window/contrast reviewed; direct data admitted.,primary_evidence_table
He 2026 (hepatectomy/JIS),V33-OD-0214,TEAS,Sham,Total postoperative opioid consumption in morphine equivalents,0-24 h,mg MME,UNCLEAR / PCA OR NORMALIZED DOSE ONLY,SENSITIVITY,opioid24_TEAS_sham_expanded_suf0.25;opioid24_TEAS_sham_expanded_suf0.25_without_Chen2020;opioid24_TEAS_sham_expanded_suf0.5;opioid24_TEAS_sham_expanded_suf0.5_without_Chen2020;opioid24_TEAS_sham_expanded_suf1;opioid24_TEAS_sham_expanded_suf1_without_Chen2020,"Supplemental Material 2, eTable 1",Expanded device/rescue/unit-uncertain body. Published source values unchanged. Not the registered systemic estimand.,primary_evidence_table
Jin 2023,V33-OD-0190,EA,Sham,Published 'fentanyl consumption' / PCIA solution volume,24 h,mL PCIA solution,UNCLEAR / PCA OR NORMALIZED DOSE ONLY,HOLD,,Table 3 / 24-h 'fentanyl consumption',General anaesthesia unverified from available main report.,primary_evidence_table
Jin 2023,V33-OD-0191,EA,Sham,Published 'fentanyl consumption' / PCIA solution volume,24 h,mL PCIA solution,UNCLEAR / PCA OR NORMALIZED DOSE ONLY,HOLD,,Table 3 / 24-h 'fentanyl consumption',General anaesthesia unverified from available main report.,primary_evidence_table
Lee 2011,V33-OD-0184,TEAS,Sham,Cumulative IV PCA morphine delivered,First 24 postoperative hours,mg IV morphine,UNCLEAR / PCA OR NORMALIZED DOSE ONLY,SENSITIVITY,opioid_partial_TEAS_sham,Table 8 / total morphine delivered,Lee Table8 excludes recovery-room doses; combine low/high arms; sham interval sum differs fromTable8.,primary_evidence_table
Lee 2011,V33-OD-0185,TEAS,Sham,Cumulative IV PCA morphine delivered,First 24 postoperative hours,mg IV morphine,UNCLEAR / PCA OR NORMALIZED DOSE ONLY,SENSITIVITY,opioid_partial_TEAS_sham,Table 8 / total morphine delivered,Lee Table8 excludes recovery-room doses; combine low/high arms; sham interval sum differs fromTable8.,primary_evidence_table
Lin 2002,V33-OD-0006,EA,Sham,Cumulative IV PCA morphine delivered during postoperative test period,Postoperative hour 1 through next 23 h (published as 24-h test-period value),mg morphine,SYSTEMIC EXPOSURE WITH UNQUANTIFIED RESCUE,SENSITIVITY,opioid_partial_EA_sham,Table 2,Source construct/window/contrast reviewed; direct data admitted.,primary_evidence_table
Lin 2002,V33-OD-0007,EA,Sham,Cumulative IV PCA morphine delivered during postoperative test period,Postoperative hour 1 through next 23 h (published as 24-h test-period value),mg morphine,SYSTEMIC EXPOSURE WITH UNQUANTIFIED RESCUE,SENSITIVITY,opioid_partial_EA_sham,Table 2,Source construct/window/contrast reviewed; direct data admitted.,primary_evidence_table
Ntritsou 2014,V33-OD-0111,EA,Sham,Total tramadol exposure,Perioperative / first 24 h most consistent with protocol; table does not restate window,mg tramadol,UNCLEAR / PCA OR NORMALIZED DOSE ONLY,EXCLUDE,,Table 1 / tramadol sum,Outside defined quantitative estimands; retained in full descriptive extraction.,primary_evidence_table
Seevaunnamtum 2016,V33-OD-0003,EA,Usual care,Cumulative IV PCA morphine requirement,First 24 h postoperatively,mg morphine,ALL SYSTEMIC OPIOID EXPOSURE supported by source,INCLUDE,opioid24_EA_usual;opioid24_EA_usual_without_ElRakshy;opioid24_EA_usual_expanded,Table 2 / 24-h PCA morphine,Source construct/window/contrast reviewed; direct data admitted.,primary_evidence_table
Sim 2002,V33-OD-0107,EA,Sham,Cumulative postoperative IV PCA morphine,0-24 h,mg/kg morphine,UNCLEAR / PCA OR NORMALIZED DOSE ONLY,SENSITIVITY,opioid24_EA_sham_weight_normalized,Figure 4 / cumulative 24-h morphine,Source construct/window/contrast reviewed; direct data admitted.,primary_evidence_table
Sim 2002,V33-OD-0108,EA,Sham,Cumulative postoperative IV PCA morphine,0-24 h,mg/kg morphine,UNCLEAR / PCA OR NORMALIZED DOSE ONLY,SENSITIVITY,opioid24_EA_sham_weight_normalized,Figure 4 / cumulative 24-h morphine,Source construct/window/contrast reviewed; direct data admitted.,primary_evidence_table
Szmit 2021,V33-OD-0350,TEAS,Sham,Total IV PCA morphine dose,0–24 h postoperative,mg IV morphine,ALL SYSTEMIC OPIOID EXPOSURE supported by source,INCLUDE,opioid24_TEAS_sham;opioid24_TEAS_sham_expanded_suf0.25;opioid24_TEAS_sham_expanded_suf0.25_without_Chen2020;opioid24_TEAS_sham_expanded_suf0.5;opioid24_TEAS_sham_expanded_suf0.5_without_Chen2020;opioid24_TEAS_sham_expanded_suf1;opioid24_TEAS_sham_expanded_suf1_without_Chen2020,Table 2 / primary outcome,Expanded device/rescue/unit-uncertain body. Published source values unchanged. Not the registered systemic estimand.,primary_evidence_table
Szmit 2021,V33-OD-0351,TEAS,Usual care,Total IV PCA morphine dose,0–24 h postoperative,mg IV morphine,ALL SYSTEMIC OPIOID EXPOSURE supported by source,INCLUDE,opioid24_TEAS_usual,Table 2 / primary outcome,Source construct/window/contrast reviewed; direct data admitted.,primary_evidence_table
Xie 2014,V33-OD-0067,EA,Sham,Total postoperative/perioperative sufentanil,Study PCA period; exact fixed window unclear,µg sufentanil,UNCLEAR / PCA OR NORMALIZED DOSE ONLY,HOLD,,Table 2 / total sufentanil,"Source ambiguity or unavailable required statistic: Unresolved source statistic, denominator or timepoint.",primary_evidence_table
Xie 2014,V33-OD-0068,EA,CONTROL_TYPE_REVIEW_REQUIRED,Total postoperative/perioperative sufentanil,Study PCA period; exact fixed window unclear,µg sufentanil,UNCLEAR / PCA OR NORMALIZED DOSE ONLY,HOLD,,Table 2 / total sufentanil,"Source ambiguity or unavailable required statistic: Unresolved source statistic, denominator or timepoint.",primary_evidence_table
Yang 2024,V33-OD-0052,EA,Usual care,Morphine use via IV PCA,First 24 h / POD1,mg morphine,SYSTEMIC EXPOSURE WITH UNQUANTIFIED RESCUE,SENSITIVITY,opioid24_EA_usual_expanded,Table 3 / Morphine use on POD1,Source construct/window/contrast reviewed; direct data admitted.,primary_evidence_table
Yeh 2011,V33-OD-0245,TEAS,Sham,24-h IV morphine PCA dose,First 24 postoperative hours,mg IV morphine,UNCLEAR / PCA OR NORMALIZED DOSE ONLY,HOLD,,Table 3 / 24-h opiate dose,Probable overlapping family; conflicting epidural/IV route for opioids. No independent duplicated cohort admitted.,primary_evidence_table
