number,key,verification,resolved_by,note,pmid,doi,authors,n_authors,title,journal,year,volume,issue,pages,elocation,publication_status,source,retrieved,vancouver
1,weiser2015,VERIFIED,PubMed PMID (from traceability record),,26313057,10.1016/S0140-6736(15)60806-6,Weiser TG; Haynes AB; Molina G; Lipsitz SR; Esquivel MM; Uribe-Leitz T; Fu R; Azad T; Chao TE; Berry WR; Gawande AA,11,Estimate of the global volume of surgery in 2012: an assessment supporting improved health outcomes,Lancet,2015,385 Suppl 2,,S11,,ppublish,PubMed,2026-09-24,"Weiser TG, Haynes AB, Molina G, Lipsitz SR, Esquivel MM, Uribe-Leitz T, et al. Estimate of the global volume of surgery in 2012: an assessment supporting improved health outcomes. Lancet. 2015;385 Suppl 2:S11."
2,gan2014,VERIFIED,PubMed PMID (from traceability record),,24237004,10.1185/03007995.2013.860019,Gan TJ; Habib AS; Miller TE; White W; Apfelbaum JL,5,"Incidence, patient satisfaction, and perceptions of post-surgical pain: results from a US national survey",Curr Med Res Opin,2014,30,1,149-60,,ppublish,PubMed,2026-09-24,"Gan TJ, Habib AS, Miller TE, White W, Apfelbaum JL. Incidence, patient satisfaction, and perceptions of post-surgical pain: results from a US national survey. Curr Med Res Opin. 2014;30:149-60."
3,liu2023china,VERIFIED,PubMed PMID (from traceability record),,37927993,10.1016/j.lanwpc.2023.100822,Liu Y; Xiao S; Yang H; Lv X; Hou A; Ma Y; Jiang Y; Duan C; Mi W; CAPOPS Group,10,Postoperative pain-related outcomes and perioperative pain management in China: a population-based study,Lancet Reg Health West Pac,2023,39,,100822,,epublish,PubMed,2026-09-24,"Liu Y, Xiao S, Yang H, Lv X, Hou A, Ma Y, et al. Postoperative pain-related outcomes and perioperative pain management in China: a population-based study. Lancet Reg Health West Pac. 2023;39:100822."
4,kehlet2003,VERIFIED,PubMed PMID (from traceability record),,14667752,10.1016/S0140-6736(03)14966-5,Kehlet H; Dahl JB,2,"Anaesthesia, surgery, and challenges in postoperative recovery",Lancet,2003,362,9399,1921-8,,ppublish,PubMed,2026-09-24,"Kehlet H, Dahl JB. Anaesthesia, surgery, and challenges in postoperative recovery. Lancet. 2003;362:1921-8."
5,brummett2017,VERIFIED,PubMed PMID (from traceability record),,28403427,10.1001/jamasurg.2017.0504,Brummett CM; Waljee JF; Goesling J; Moser S; Lin P; Englesbe MJ; Bohnert ASB; Kheterpal S; Nallamothu BK,9,New Persistent Opioid Use After Minor and Major Surgical Procedures in US Adults,JAMA Surg,2017,152,6,e170504,,ppublish,PubMed,2026-09-24,"Brummett CM, Waljee JF, Goesling J, Moser S, Lin P, Englesbe MJ, et al. New Persistent Opioid Use After Minor and Major Surgical Procedures in US Adults. JAMA Surg. 2017;152:e170504."
6,frangakis2026,VERIFIED,PubMed search: 10.1136/rapm-2025-107296[aid],,42362357,10.1136/rapm-2025-107296,Frangakis S; Keating SJ; Pisarczyk K; Tuzil J; Menzie AM,5,New persistent opioid use following surgery among opioid-naïve patients in the USA: a systematic review and meta-analysis of observational studies,Reg Anesth Pain Med,2026,,,,rapm-2025-107296,aheadofprint,PubMed,2026-09-24,"Frangakis S, Keating SJ, Pisarczyk K, Tuzil J, Menzie AM. New persistent opioid use following surgery among opioid-naïve patients in the USA: a systematic review and meta-analysis of observational studies. Reg Anesth Pain Med. 2026; doi:10.1136/rapm-2025-107296."
7,bologheanu2025,VERIFIED,PubMed PMID (from traceability record),,39976966,10.1001/jamanetworkopen.2024.60794,Bologheanu R; Bilir A; Kapral L; Gruber F; Kimberger O,5,New Persistent Opioid Use After Surgery,JAMA Netw Open,2025,8,2,e2460794,,epublish,PubMed,2026-09-24,"Bologheanu R, Bilir A, Kapral L, Gruber F, Kimberger O. New Persistent Opioid Use After Surgery. JAMA Netw Open. 2025;8:e2460794."
8,lawal2020,VERIFIED,PubMed PMID (from traceability record),,32584407,10.1001/jamanetworkopen.2020.7367,Lawal OD; Gold J; Murthy A; Ruchi R; Bavry E; Hume AL; Lewkowitz AK; Brothers T; Wen X,9,Rate and Risk Factors Associated With Prolonged Opioid Use After Surgery: A Systematic Review and Meta-analysis,JAMA Netw Open,2020,3,6,e207367,,epublish,PubMed,2026-09-24,"Lawal OD, Gold J, Murthy A, Ruchi R, Bavry E, Hume AL, et al. Rate and Risk Factors Associated With Prolonged Opioid Use After Surgery: A Systematic Review and Meta-analysis. JAMA Netw Open. 2020;3:e207367."
9,adams2023,VERIFIED,PubMed PMID (from traceability record),,37059626,10.1016/j.bja.2023.02.037,Adams TJ; Aljohani DM; Forget P,3,Perioperative opioids: a narrative review contextualising new avenues to improve prescribing,Br J Anaesth,2023,130,6,709-718,,ppublish,PubMed,2026-09-24,"Adams TJ, Aljohani DM, Forget P. Perioperative opioids: a narrative review contextualising new avenues to improve prescribing. Br J Anaesth. 2023;130:709-18."
10,han2003,VERIFIED,PubMed search: Trends Neurosci[ta] AND 2003[dp] AND 26[vi] AND 17[pg] AND Han JS[au],,12495858,10.1016/s0166-2236(02)00006-1,Han JS,1,Acupuncture: neuropeptide release produced by electrical stimulation of different frequencies,Trends Neurosci,2003,26,1,17-22,,ppublish,PubMed,2026-09-24,Han JS. Acupuncture: neuropeptide release produced by electrical stimulation of different frequencies. Trends Neurosci. 2003;26:17-22.
