study_id,canonical_name,modality,comparator,arm1_n,arm1_mean,arm1_sd,arm2_n,arm2_mean,arm2_sd,md,se,unit
1879896014,Zheng 2025,TEAS,Sham,42,233.1,29.6,43,289.5,37.9,-56.4,7.37,ug
1879896460,Xing 2022,TEAS,Sham,29,1415.41,295.67,29,1619.13,328.98,-203.72,82.14,ug
1879896324,Pan 2023,TEAS,Sham,52,740.1,276.9,53,854.0,287.5,-113.9,55.08,ug
1879897001,Ntritsou 2014,EA,Sham,25,1003.6,522.7,25,1041.9,631.9,-38.3,138.62,ug
1879896450,Wu 2022,TEAS,Sham,44,1383.0,494.0,40,1637.0,630.0,-254.0,122.95,ug
1879896116,Wu 2025,TEAS,Sham,50,489.4,226.0,50,533.8,263.6,-44.4,49.1,ug
1879896009,Liu 2025,EA,Sham,40,911.1,233.8,40,1095.9,362.2,-184.8,68.17,ug
1879896500,Li 2022,EA,Sham,41,1989.0,158.7,42,2009.0,143.2,-20.0,33.19,ug
1879896400,Guo 2023,TEAS,Sham,30,870.0,300.0,30,1010.0,390.0,-140.0,89.81,ug
1879895900,He 2026 (#25),TEAS,Sham,40,2500.0,1400.0,40,2800.0,1900.0,-300.0,372.42,ug
1879897074,Xie 2014,EA,Sham,20,1890.0,630.0,20,1900.0,590.0,-10.0,192.94,ug
