analysis_id,outcome_family,outcome,time_point,modality,comparator,k,N,effect_measure,primary_sensitivity_exploratory_status,stata_model,estimate,lower_95_ci,upper_95_ci,p_value,i2,tau2,prediction_interval_lower,prediction_interval_upper,stata_dataset,stata_command,do_file,log_file,dashboard_displayed_estimate,dashboard_displayed_ci,dashboard_displayed_k,match_status,discrepancy_explanation,final_verification_status
AN-01A,Direct Postoperative Opioid Exposure,Cumulative Postoperative Opioid Consumption (IV MME),0–24 h,Combined (TEAS + EA),Sham / Control,11,945,Mean Difference (mg IV MME),PRIMARY,Random-Effects REML + Knapp-Hartung,-5.035,-9.777,-0.293,0.0395,99.73,30.0069,-18.329,8.259,stata/stata_consensus_synthesis_data.csv,"meta summarize, random(reml) se(kh) predinterval",stata/01_24h_opioid_primary.do,stata/logs/01_24h_opioid_primary.log,-5.04,"[-9.78, -0.29]",11,EXACT MATCH,None. Primary prespecified model.,VERIFIED
AN-01B,Direct Postoperative Opioid Exposure,Cumulative Postoperative Opioid Consumption (IV MME),0–24 h,Combined (TEAS + EA),Sham / Control,11,945,Mean Difference (mg IV MME),SENSITIVITY,Random-Effects DerSimonian-Laird (DL),-2.027,-4.311,0.257,0.0762,94.93,1.5085,-4.68,0.63,stata/stata_consensus_synthesis_data.csv,"meta summarize, random(dl) se(kh)",stata/01_24h_opioid_primary.do,stata/logs/01_24h_opioid_primary.log,-2.03,"[-4.31, +0.26] (HKSJ) / [-3.06, -0.98] (Wald)",11,EXACT MATCH,DerSimonian-Laird sensitivity explains -5.04 vs -2.03 discrepancy; DL underweights tau2 resulting in >55% weight on 3 trials with tiny SEs.,VERIFIED
AN-01C,Direct Postoperative Opioid Exposure,Cumulative Postoperative Opioid Consumption (IV MME),0–24 h,TEAS,Sham,8,725,Mean Difference (mg IV MME),PRIMARY,Random-Effects REML + Knapp-Hartung,-5.351,-10.871,0.17,0.0556,99.82,37.1328,-21.46,10.76,stata/stata_consensus_synthesis_data.csv,"meta summarize if modality == ""TEAS"" & comparator == ""Sham"", random(reml) se(kh) predinterval",stata/01_24h_opioid_primary.do,stata/logs/01_24h_opioid_primary.log,-5.35,"[-10.87, +0.17]",8,EXACT MATCH,Principal Comparison 1 (TEAS vs Sham).,VERIFIED
AN-01D,Direct Postoperative Opioid Exposure,Cumulative Postoperative Opioid Consumption (IV MME),0–24 h,EA,Sham / Control,3,220,Mean Difference (mg IV MME),PRIMARY,Random-Effects REML + Knapp-Hartung,-8.118,-36.23,19.995,0.3275,97.43,36.4384,,,stata/stata_consensus_synthesis_data.csv,"meta summarize if modality == ""EA"", random(reml) se(kh)",stata/01_24h_opioid_primary.do,stata/logs/01_24h_opioid_primary.log,-8.12,"[-36.23, +20.00]",3,EXACT MATCH,"Principal Comparison 2 (EA vs Control/Sham). Includes El-Rakshy 2009, Sim 2002, Coura 2011.",VERIFIED
AN-01E,Direct Postoperative Opioid Exposure,Cumulative Postoperative Opioid Consumption (IV MME),0–24 h,Combined,Sham / Control,6,479,Mean Difference (mg IV MME),SENSITIVITY,Random-Effects REML + Knapp-Hartung (Direct Data Only),-5.203,-11.961,1.554,0.1037,99.78,38.6432,-24.81,14.4,stata/stata_consensus_synthesis_data.csv,"meta summarize if opioid_status == ""Primary Direct"", random(reml) se(kh)",stata/16_direct_data_sensitivity.do,stata/logs/16_direct_data_sensitivity.log,-5.2,"[-11.96, +1.55]",6,EXACT MATCH,Direct-data-only sensitivity analysis.,VERIFIED
AN-01F,Direct Postoperative Opioid Exposure,Cumulative Postoperative Opioid Consumption (IV MME),0–24 h,Combined,Sham / Control,10,850,Mean Difference (mg IV MME),SENSITIVITY,Random-Effects REML + Knapp-Hartung (Exclude High RoB),-5.395,-10.453,-0.337,0.0398,99.75,33.1517,-19.78,8.99,stata/stata_consensus_synthesis_data.csv,"meta summarize if is_high_rob == 0, random(reml) se(kh)",stata/15_rob_sensitivity.do,stata/logs/15_rob_sensitivity.log,-5.39,"[-10.45, -0.34]",10,EXACT MATCH,Excludes El-Rakshy 2009 (high attrition/unblinded).,VERIFIED
AN-02A,Direct Postoperative Opioid Exposure,Cumulative Postoperative Opioid Consumption (IV MME),0–48 h,Combined (TEAS + EA),Sham / Control,5,478,Mean Difference (mg IV MME),KEY SECONDARY,Random-Effects REML + Knapp-Hartung,-2.712,-4.402,-1.022,0.0118,88.94,1.1374,-6.84,1.42,stata/stata_48h_opioid_synthesis_data.csv,"meta summarize, random(reml) se(kh) predinterval",stata/02_48h_opioid_secondary.do,stata/logs/02_48h_opioid_secondary.log,-2.71,"[-4.40, -1.02]",5,EXACT MATCH,Key Secondary outcome (formerly labeled co-primary; purged).,VERIFIED
AN-02B,Direct Postoperative Opioid Exposure,Cumulative Postoperative Opioid Consumption (IV MME),0–48 h,TEAS,Sham,3,370,Mean Difference (mg IV MME),KEY SECONDARY,Random-Effects REML + Knapp-Hartung,-2.138,-3.754,-0.521,0.0275,82.35,0.523,,,stata/stata_48h_opioid_synthesis_data.csv,"meta summarize if modality == ""TEAS"", random(reml) se(kh)",stata/02_48h_opioid_secondary.do,stata/logs/02_48h_opioid_secondary.log,-2.14,"[-3.75, -0.52]",3,EXACT MATCH,TEAS 48h stratum.,VERIFIED
AN-03A,Direct Postoperative Opioid Exposure,Cumulative Postoperative Opioid Consumption (IV MME),0–72 h,Combined (TEAS + EA),Sham / Control,4,324,Mean Difference (mg IV MME),EXPLORATORY,Random-Effects REML + Knapp-Hartung,-8.764,-19.049,1.52,0.0768,97.43,49.3752,-37.89,20.36,stata/stata_72h_opioid_synthesis_data.csv,"meta summarize, random(reml) se(kh) predinterval",stata/03_72h_opioid_exploratory.do,stata/logs/03_72h_opioid_exploratory.log,-8.76,"[-19.05, +1.52]",4,EXACT MATCH,Exploratory 72h outcome.,VERIFIED
AN-03B,Direct Postoperative Opioid Exposure,Cumulative Postoperative Opioid Consumption (IV MME),0–72 h,TEAS,Sham,1,90,Mean Difference (mg IV MME),EXPLORATORY,Single Trial (Zhang 2025),-26.2,-32.17,-20.23,0.0001,,,,,stata/stata_72h_opioid_synthesis_data.csv,Single trial reporting (Zhang 2025),stata/03_72h_opioid_exploratory.do,stata/logs/03_72h_opioid_exploratory.log,-26.2,"[-32.17, -20.23]",1,EXACT MATCH,Single eligible study contributed; no pooled meta-analytic estimate possible.,NOT APPROPRIATE TO POOL
